Loại,Giá trị chuẩn,Số cách viết,Các cách viết hiện có trong tab (dòng)
CPU,Ryzen 5 6600U,1,"""Ryzen 5 6600U"" (G190)"
CPU,Ryzen 5 7235HS,1,"""Ryzen 5 7235HS"" (R451)"
CPU,Ryzen 5 7430U,1,"""Ryzen 5 7430U"" (R400)"
CPU,Ryzen 5 7520U,1,"""Ryzen 5 7520U"" (R366)"
CPU,Ryzen 5 7530U,1,"""Ryzen 5 7530U"" (R394)"
CPU,Ryzen 5 7533HS,1,"""Ryzen 5 7533HS"" (R473)"
CPU,Ryzen 5 7535HS,1,"""Ryzen 5 7535HS"" (R425)"
CPU,Ryzen 5 7640HS,1,"""Ryzen 5 7640HS"" (R401)"
CPU,Ryzen 5 7735HS,1,"""Ryzen 5 7735HS"" (G74)"
CPU,Ryzen 5 8645HS,1,"""Ryzen 5 8645HS"" (G208)"
CPU,Ryzen 7 155,1,"""Ryzen 7 155"" (G202)"
CPU,Ryzen 7 170,1,"""Ryzen 7 170"" (R531)"
CPU,Ryzen 7 250,1,"""Ryzen 7 250"" (R432)"
CPU,Ryzen 7 260,1,"""Ryzen 7 260"" (R543)"
CPU,Ryzen 7 350,1,"""Ryzen 7 350"" (G232)"
CPU,Ryzen 7 3700U,2,"""Ryzen R7 3700U"" (G117) | ""Ryzen 7 3700U"" (R343)"
CPU,Ryzen 7 4700U,2,"""Ryzen 7 4700U"" (R476) | ""Ryzen 7-4700U"" (G194)"
CPU,Ryzen 7 4800H,1,"""Ryzen 7 4800H"" (G170)"
CPU,Ryzen 7 4800HS,1,"""Ryzen 7 4800HS"" (G183)"
CPU,Ryzen 7 4800U,1,"""Ryzen 7 4800U"" (R194)"
CPU,Ryzen 7 5700U,1,"""Ryzen 7 5700U"" (R289)"
CPU,Ryzen 7 5800H,1,"""Ryzen 7 5800H"" (R455)"
CPU,Ryzen 7 5800HS,1,"""Ryzen 7 5800HS"" (G189)"
CPU,Ryzen 7 5825U,1,"""Ryzen 7 5825U"" (R453)"
CPU,Ryzen 7 6800H,1,"""Ryzen 7 6800H"" (G201)"
CPU,Ryzen 7 6800HS,1,"""Ryzen 7 6800HS"" (G187)"
CPU,Ryzen 7 7435HS,1,"""Ryzen 7 7435HS"" (R173)"
CPU,Ryzen 7 7445HS,1,"""Ryzen 7 7445HS"" (R541)"
CPU,Ryzen 7 7530U,1,"""Ryzen 7 7530U"" (R105)"
CPU,Ryzen 7 7730U,1,"""Ryzen 7 7730U"" (R389)"
CPU,Ryzen 7 7735HS,1,"""Ryzen 7 7735HS"" (R423)"
CPU,Ryzen 7 7735U,1,"""Ryzen 7 7735U"" (R390)"
CPU,Ryzen 7 7840HS,1,"""Ryzen 7 7840HS"" (G211)"
CPU,Ryzen 7 8840HS,1,"""Ryzen 7 8840HS"" (R406)"
CPU,Ryzen 7 8845HS,1,"""Ryzen 7 8845HS"" (R301)"
CPU,Ryzen 9 365,1,"""Ryzen 9 365"" (G228)"
CPU,Ryzen 9 465,1,"""Ryzen 9 465"" (G226)"
CPU,Ryzen 9 4900HS,1,"""Ryzen 9 4900HS"" (R192)"
CPU,Ryzen 9 5900HS,2,"""Ryzen 9 5900Hs"" (G56) | ""Ryzen 9 5900HS"" (R224)"
CPU,Ryzen 9 5900HX,1,"""Ryzen 9 5900HX"" (R340)"
CPU,Ryzen 9 6900HS,1,"""Ryzen 9 6900HS"" (G180)"
CPU,Ryzen 9 7945HX,1,"""Ryzen 9 7945HX"" (R177)"
CPU,Ryzen 9 8940HX,2,"""Ryzen 9 8940HX"" (R503) | ""Ryzen R9 8940HX"" (G233)"
CPU,Ryzen 9 8945HS,1,"""Ryzen 9 8945HS"" (G154)"
CPU,Ryzen AI 5 330,1,"""Ryzen AI 5 330"" (R426)"
CPU,Ryzen AI 5 340,1,"""Ryzen AI 5 340"" (R467)"
CPU,Ryzen AI 7 250,1,"""Ryzen AI 7 250"" (G133)"
CPU,Ryzen AI 7 350,2,"""Ryzen AI 7 350"" (R529) | ""Ryzen 7 AI 350"" (G156)"
CPU,Ryzen AI 7 445,1,"""Ryzen AI 7 445"" (R449)"
CPU,Ryzen AI 7 PRO 360,1,"""Ryzen AI 7 PRO 360"" (R396)"
CPU,Ryzen AI 9 365,1,"""Ryzen AI 9 365"" (R257)"
CPU,Ryzen AI 9 465,1,"""Ryzen AI 9 465"" (R142)"
CPU,Ryzen AI 9 HX 370,3,"""Ryzen AI 9 HX 370"" (R489) | ""Ryzen AI 9 370HX"" (G142) | ""Ryzen AI 9 HX370"" (G220)"
CPU,Ryzen AI 9 HX PRO 375,1,"""Ryzen AI 9 HX PRO 375"" (R393)"
CPU,Ryzen AI 9 PRO HX 375,1,"""Ryzen  AI 9 PRO 375HX"" (G109)"
CPU,Ryzen AI Max+ 392,2,"""Ryzen AI MAX+ 392"" (G30) | ""Ryzen AI Max+ 392"" (R152)"
CPU,Ryzen AI Max+ 395,2,"""Ryzen AI MAX+ 395"" (G23) | ""Ryzen AI Max+ 395"" (R138)"
CPU,Snapdragon X Elite X1E-78-100,1,"""Snapdragon X Elite X1E-78-100"" (G238)"
CPU,Snapdragon X Plus X1P-42-100,2,"""Snapdragon X Plus X1P 42 100"" (G236) | ""Snapdragon X Plus X1P-42-100, 8C"" (R466)"
CPU,Snapdragon X Plus X1P-64-100,1,"""Snapdragon X Plus X1P-64-100"" (R535)"
CPU,Snapdragon X X1-26-100,2,"""Snapdragon X X1-26-100"" (R445) | ""Snapdragon X X1 26 100"" (G234)"
CPU,Snapdragon X2 Elite Extreme X2E-94-100,1,"""Snapdragon X2 Elite Extreme X2E 94 100"" (G239)"
CPU,Snapdragon X2 Elite X2E-88-100,2,"""Snapdragon X2 Elite X2E-88-100"" (R168) | ""Snapdragon X2 Elite X2E 88 100"" (G235)"
GPU,AMD Radeon 520,1,"""AMD Radeon 520, 2 GB"" (N145)"
GPU,AMD Radeon 610M,2,"""AMD Radeon 610M"" (J67) | ""AMD Radeon 610M Graphics"" (J37)"
GPU,AMD Radeon 660M,2,"""AMD Radeon 660M"" (N162) | ""AMD Radeon 660M Graphics"" (J69)"
GPU,AMD Radeon 680M,2,"""AMD Radeon 680M"" (N14) | ""AMD Radeon 680M Graphics"" (J30)"
GPU,AMD Radeon 740M,2,"""AMD Radeon 740M"" (N32) | ""AMD Radeon 740M Graphics"" (J38)"
GPU,AMD Radeon 780M,2,"""AMD Radeon 780M"" (N61) | ""AMD Radeon 780M Graphics"" (J72)"
GPU,AMD Radeon 8060S,2,"""AMD Radeon 8060S"" (N54) | ""AMD Radeon 8060S Graphics"" (J88)"
GPU,AMD Radeon 820M,2,"""AMD Radeon 820M"" (N19) | ""AMD Radeon 820M Graphics"" (J66)"
GPU,AMD Radeon 840M,2,"""AMD Radeon 840M"" (N146) | ""AMD Radeon 840M Graphics"" (J39)"
GPU,AMD Radeon 860M,2,"""AMD Radeon 860M"" (J50) | ""AMD Radeon 860M Graphics"" (J42)"
GPU,AMD Radeon 880M,1,"""AMD Radeon 880M Graphics"" (J94)"
